Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,article_id
0.9857955704257502,0.0035363317117925556,0.003550331913534228,0.003577369397750053,0.0035403965511729713,1
0.002685832513256695,0.002674837190675802,0.0026453587749401884,0.9893367282436019,0.0026572432775253635,2
0.0047258451021600775,0.004766310210043129,0.004712359011552987,0.981042129552565,0.004753356123678839,3
0.004693499240384325,0.004696046650402623,0.981210975161785,0.004692641483166054,0.004706837464262036,4
0.0035556715146479174,0.0035486556241968673,0.0035581317350533775,0.9858148810311372,0.0035226600949645995,5
0.004616524384186715,0.9815544010371652,0.004586547049505255,0.004629760221097118,0.004612767308045873,6
0.004315625821934446,0.004284256797512468,0.004280941775900492,0.004288342204403314,0.9828308334002493,7
0.9820702593713831,0.004488703735822747,0.004463540601443839,0.004485036279195989,0.004492460012154136,8
0.005476769826091742,0.005494370401147095,0.0055044586541962495,0.978069563977451,0.0054548371411138104,9
0.005594557901132857,0.9775300101194714,0.005643502457124444,0.005668893762846044,0.005563035759425267,10
